Composition,HV,Source
Al16.7Co16.7Cr16.7Cu8.3Fe25Ni16.7,537,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al15.4Co15.4Cr15.4Cu7.7Fe30.8Ni15.4,514,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al20Co20Cr20Cu10Fe20Ni10,604,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al22.2Co22.2Cr22.2Cu11.1Fe22.2,639,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al22.2Cr22.2Cu11.1Fe22.2Ni22.2,534,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al30.8Co15.4Cr15.4Cu7.7Fe15.4Ni15.4,609,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al20Co10Cr20Cu10Fe20Ni20,551,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al11.1Cr22.2Cu22.2Fe22.2Ni22.2,382,"Anmin L I ,  Zhang X . Effect of Al on Microstructure and Hardness of AlxCrCuFeNi High-entropy Alloy System[J]. Hot Working Technology, 2008."
Al27.3Cr18.2Cu18.2Fe18.2Ni18.2,573,"Anmin L I ,  Zhang X . Effect of Al on Microstructure and Hardness of AlxCrCuFeNi High-entropy Alloy System[J]. Hot Working Technology, 2008."
Al33.3Cr16.7Cu16.7Fe16.7Ni16.7,651,"Anmin L I ,  Zhang X . Effect of Al on Microstructure and Hardness of AlxCrCuFeNi High-entropy Alloy System[J]. Hot Working Technology, 2008."
Al7.7Co30.8Fe30.8Ni30.8,137,"Zuo T T ,  Li R B ,  Ren X J , et al. Effects of Al and Si addition on the structure and properties of CoFeNi equal atomic ratio alloy[J]. Journal of Magnetism & Magnetic Materials, 2014, 371(dec.):60-68."
Al14.3Co28.6Fe28.6Ni28.6,209,"Zuo T T ,  Li R B ,  Ren X J , et al. Effects of Al and Si addition on the structure and properties of CoFeNi equal atomic ratio alloy[J]. Journal of Magnetism & Magnetic Materials, 2014, 371(dec.):60-68."
Al20Co26.7Fe26.7Ni26.7,383,"Zuo T T ,  Li R B ,  Ren X J , et al. Effects of Al and Si addition on the structure and properties of CoFeNi equal atomic ratio alloy[J]. Journal of Magnetism & Magnetic Materials, 2014, 371(dec.):60-68."
Al8Co17Cr17Cu8Fe17Ni33,280,"Manzoni A ,  Daoud H ,  Mondal S , et al. Investigation of phases in Al23Co15Cr23Cu8Fe15Ni16 and Al8Co17Cr17Cu8Fe17Ni33 high entropy alloys and comparison with equilibrium phases predicted by Thermo-Calc[J]. Journal of Alloys & Compounds, 2013, 552:430-436."
Al23Co15Cr23Cu8Fe15Ni16,580,"Manzoni A ,  Daoud H ,  Mondal S , et al. Investigation of phases in Al23Co15Cr23Cu8Fe15Ni16 and Al8Co17Cr17Cu8Fe17Ni33 high entropy alloys and comparison with equilibrium phases predicted by Thermo-Calc[J]. Journal of Alloys & Compounds, 2013, 552:430-436."
Al11.8Cr29.4Fe44.1Ni14.7,450,"Du Y Y ,  Lu Y P ,  Li T J , et al. Effect of aluminium content of Al x CrFe 1·5 Ni 0·5 multiprincipal alloys on microstructure and alloy hardness[J]. Materials Research Innovations, 2013, 15(2):107-110."
Al6.3Cr31.3Fe46.9Ni15.6,304,"Du Y Y ,  Lu Y P ,  Li T J , et al. Effect of aluminium content of Al x CrFe 1·5 Ni 0·5 multiprincipal alloys on microstructure and alloy hardness[J]. Materials Research Innovations, 2013, 15(2):107-110."
Al38.5Co15.4Cr15.4Fe15.4Ni15.4,695,"Li C ,  Li J C ,  Zhao M , et al. Effect of aluminum contents on microstructure and properties of AlxCoCrFeNi alloys[J]. Journal of Alloys and Compounds, 2010, 504(supp-S1):S515-S518."
Al42.9Co14.3Cr14.3Fe14.3Ni14.3,740,"Li C ,  Li J C ,  Zhao M , et al. Effect of aluminum contents on microstructure and properties of AlxCoCrFeNi alloys[J]. Journal of Alloys and Compounds, 2010, 504(supp-S1):S515-S518."
Al28.6Co14.3Cr14.3Cu14.3Fe14.3Ni14.3,571,"Yeh J W ,  Chen S K ,  Lin S J , et al. Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes[J]. Advanced Engineering Materials, 2004, 6(5):299-303. 、Wu J M ,  Lin S J ,  Yeh J W , et al. Adhesive wear behavior of AlxCoCrCuFeNi high-entropy alloys as a function of aluminum content[J]. Wear, 2006, 261(5-6):513-519."
Al20Co20Cr20Cu20Ni20,415,"Hsu U S ,  Hung U D ,  Yeh J W , et al. Alloying behavior of iron, gold and silver in AlCoCrCuNi-based equimolar high-entropy alloys[J]. Materials Science & Engineering A, 2007, 460(none):403-408.、Jien-Wei Yeh, Shou-Yi Chang, Yu-Der Hong,等. Anomalous decrease in X-ray diffraction intensities of Cu–Ni–Al–Co–Cr–Fe–Si alloy systems with multi-principal elements[J]. Materials Chemistry & Physics, 2007, 103(1):41-46."
Al25Co16.7Cr16.7Cu8.3Fe16.7Ni16.7,602,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019.、 Praveen S ,  Murty B S ,  Kottada R S . Alloying behavior in multi-component AlCoCrCuFe and NiCoCrCuFe high entropy alloys[J]. Materials Science and Engineering A, 2012, 534(Feb.1):83-89."
Co20Cr20Cu20Fe20Ni20,144,"Zhu Z G ,  Ma K H ,  Wang Q , et al. Compositional dependence of phase formation and mechanical properties in three CoCrFeNi-(Mn/Al/Cu) high entropy alloys[J]. Intermetallics, 2016, 79:1-11.、Yuan L . Microstructure and Mechanical Performance of AlxCoCrCuFeNi High-Entropy Alloys[J]. RARE METAL MATERIALS AND ENGINEERING, 2009, 38(9):1602-1607."
Al43Co6Cr33Cu6Fe6Ni6,764,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al42.9Co14.3Cr7.1Cu7.1Fe7.1Ni21.4,591,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al42.9Co21.4Cr7.1Cu7.1Fe7.1Ni14.3,701,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al40Co13.3Cr6.7Cu13.3Fe20Ni6.7,768,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al46.2Co15.4Cr7.7Cu7.7Fe15.4Ni7.7,702,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al42.9Co14.3Cr14.3Cu7.1Fe7.1Ni14.3,720,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al42.9Co7.1Cr14.3Cu7.1Fe14.3Ni14.3,694,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al7Cr23.3Fe23.3Ni46.5,149,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al11.1Cr22.2Fe22.2Ni44.4,229,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al13Cr28Cu22Fe6Ni31,459,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al12Cr31Cu21Fe5Ni31,469,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al12Cr31Cu20Fe5Ni32,483,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al10Cr35Cu25Fe5Ni25,472,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al10Cr35Cu26Fe5Ni24,454,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al10Cr35Cu24Fe5Ni26,441,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al11Cr29Cu29Fe5Ni26,495,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al11Cr28Cu29Fe7Ni25,477,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al11Cr28Cu27Fe6Ni28,469,"Wen C ,  Zhang Y ,  Wang C , et al. Machine learning assisted design of high entropy alloys with desired property[J]. Acta Materialia, 2019."
Al23.1Cr15.4Cu15.4Fe15.4Ni15.4Mn15.4,718,"王子玥,郭敏,于雪,姜小丹,农智升,朱景川.退火对Al_(1.5)CrCuFeMnTi高熵合金组织和硬度的影响[J].稀有金属与硬质合金,2019,47(02):15-21./Wang ziyue, Guo min, Yu Xue, Jiang Xiaodan, Nong Zhisheng, Zhu Jingchuan. Effect of Annealing on Microstructures and hardness of Al1.5CrCuFeNiMnTi high entropy alloy[J]. Rare metals and cemented carbides, 2019,47 (02): 15-21"
Al17.2Co17.2Cr17.2Fe17.2Ni17.2Ti13.8,525.2,"黄蕾,王雪洁,王长征,杨院生.Ti对AlCoCrFeNiTi_x高熵合金微观组织和摩擦性能的影响[J].特种铸造及有色合金,2020,40(05):562-566./Huang Lei, Wang Xuejie, Wang Changzheng, Yang Yuansheng. Microstructure Evolution and Wear Resistance of AlCoCrFeNiTi[J]. Special casting and nonferrous alloy, 2020,40 (05): 562-566"
Co25Fe25Ni25Mn25,138,"侯丽丽,郭强,惠嘉涛,要玉宏,刘江南.FeCoNiMnB_x高熵合金微观组织及力学性能的研究[J].热加工工艺,2019,48(14):23-26./Hou Lili, Guo Qiang, Hui Jiatao, Yao Yuhong, Liu Jiangnan.Study on Microstructure and Mechanical Properties of FeCoNiMnB[J]. Hot Working Technology, 2019,48 (14): 23-26"
Cr24.4Cu2.4Fe24.4Ni24.4Ti24.4,834,"龚文娟. Cu_xCrFeNiTi高熵合金抗高温氧化与耐腐蚀性能的研究[D].湘潭大学,2019./Gongwenjuan. High Temperature Oxidation Resistance and Corrosion Resistance of CuxCrFeNiTi 
High Entropy Alloy[D]. Xiangtan University, 2019"
Cr23.5Cu5.9Fe23.5Ni23.5Ti23.5,825,"龚文娟. Cu_xCrFeNiTi高熵合金抗高温氧化与耐腐蚀性能的研究[D].湘潭大学,2019./Gongwenjuan. High Temperature Oxidation Resistance and Corrosion Resistance of CuxCrFeNiTi 
High Entropy Alloy[D]. Xiangtan University, 2019"
Cr22.2Cu11.1Fe22.2Ni22.2Ti22.2,727,"龚文娟. Cu_xCrFeNiTi高熵合金抗高温氧化与耐腐蚀性能的研究[D].湘潭大学,2019./Gongwenjuan. High Temperature Oxidation Resistance and Corrosion Resistance of CuxCrFeNiTi 
High Entropy Alloy[D]. Xiangtan University, 2019"
Cr21.1Cu15.8Fe21.1Ni21.1Ti21.1,661,"龚文娟. Cu_xCrFeNiTi高熵合金抗高温氧化与耐腐蚀性能的研究[D].湘潭大学,2019./Gongwenjuan. High Temperature Oxidation Resistance and Corrosion Resistance of CuxCrFeNiTi 
High Entropy Alloy[D]. Xiangtan University, 2019"
Cr20Cu20Fe20Ni20Ti20,657,"龚文娟. Cu_xCrFeNiTi高熵合金抗高温氧化与耐腐蚀性能的研究[D].湘潭大学,2019./Gongwenjuan. High Temperature Oxidation Resistance and Corrosion Resistance of CuxCrFeNiTi 
High Entropy Alloy[D]. Xiangtan University, 2019"
Cr10Fe50Ni10Mn30,136,"白莉,王宇哲,杨小光,汪仁斌.Cr元素对FeMnNiCr高熵合金微观组织与性能的影响[J].热加工工艺,2020,49(22):53-56+62./Bai Li, Wang Yuzhe, Yang Xiaoguang, Wang Renbin. Effect of Cr on Microstructure and Mechanical Properties of FeMnNiCr High-Alloy [J].  Hot Working Technology, 2020,49 (22): 53-56 + 62"
Cr18Fe50Ni10Mn22,149,"白莉,王宇哲,杨小光,汪仁斌.Cr元素对FeMnNiCr高熵合金微观组织与性能的影响[J].热加工工艺,2020,49(22):53-56+62./Bai Li, Wang Yuzhe, Yang Xiaoguang, Wang Renbin. Effect of Cr on Microstructure and Mechanical Properties of FeMnNiCr High-Alloy [J]. Hot working process, 2020,49 (22): 53-56 + 62"
Co20Cr20Fe20Ni20Ti20,887,"徐义库,刘建儒,宋绪丁,陈永楠,黄兆皓,郝建民,刘林.CoCrFeNiTiAlx高熵合金的组织演变及其力学性能研究[J].热加工工艺,2018,47(24):21-24+30./Xu yiku, Liu Jianru, song Xuding, Chen Yongnan, Huang zhaohao, Hao Jianmin, Liu Lin. Study on Microstructure Evolution and Mechanical Properties of CoCrFeNiTiAl high entropy alloy [J]. Hot working process, 2018,47 (24): 21-24 + 30"
Al16.4Co16.4Cr16.4Cu16.4Fe16.4Ni16.4V1.6,482,"李安敏,徐飞,郭宝航,孔德明,王福卫.AlNiFeCuCoCrV_x高熵合金的显微组织与力学性能[J].机械工程材料,2019,43(04):48-52./Li Anmin, Xu Fei, Guo Baohang, Kong Deming, Wang Fuwei. Alnifecucocrv_ X. Microstructure and Mechanical Properties of AlNiFeCuCoCrV high entropy alloys [J]. Materials for mechanical engineering, 2019,43 (04): 48-52"
Al15.2Cr15.2Cu24.2Fe15.2Ni30.3,372,"杨思华,李承泽,张宇峰,曲迎东.AlCrFeNi_2Cu_x高熵合金组织及性能[J].沈阳工业大学学报,2019,41(04):390-394./Yang Sihua, Li Chengze, Zhang Yufeng, Qu Yingdong. Microstructure and mechanical properties of AlCrFeNiCuX high entropy alloy [J]. Journal of Shenyang University of technology, 2019,41 (04): 390-394"
Al4.8Cr23.8Cu23.8Ni23.8Ti23.8,376,"郭富强.Al_xCrCuNiTi高熵合金的微观组织与硬度[J].特种铸造及有色合金,2019,39(12):1277-1281./Guo Fuqiang.Microstructure and Hardness of AlCrCuNiTi High-entropy Alloys [J]. Special casting and nonferrous alloy, 2019,39 (12): 1277-1281"
Al20Cr20Cu20Ni20Ti20,513,"郭富强.Al_xCrCuNiTi高熵合金的微观组织与硬度[J].特种铸造及有色合金,2019,39(12):1277-1281./Guo Fuqiang.Microstructure and Hardness of AlCrCuNiTi High-entropy Alloys [J]. Special casting and nonferrous alloy, 2019,39 (12): 1277-1281"
Co25Fe25Ni25Mo25,458,"曲明洋,李廷取,颜丙辉,索忠源.Al_xCoFeNiMo高熵合金的结构演变及力学性能[J].铸造,2020,69(01):11-15./Qu Mingyang, Li tingzhe, Yan Binghui, Suo Zhongyuan. Microstructural Evolution and Mechanical Properties of AlCoFeNiMo High-Entropy Alloys[J]. Foundry, 2020,69 (01): 11-15"
Al20Co20Fe20Ni20Mo20,750,"曲明洋,李廷取,颜丙辉,索忠源.Al_xCoFeNiMo高熵合金的结构演变及力学性能[J].铸造,2020,69(01):11-15./Qu Mingyang, Li tingzhe, Yan Binghui, Suo Zhongyuan. Microstructural Evolution and Mechanical Properties of AlCoFeNiMo High-Entropy Alloys[J]. Foundry, 2020,69 (01): 11-15"
Al2.5Co25Cr22.5Fe25Ni25,135.3,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al5Co25Cr20Fe25Ni25,147.2,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al7.5Co25Cr17.5Fe25Ni25,175.3,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al10Co25Cr15Fe25Ni25,190.4,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al12.5Co25Cr12.5Fe25Ni25,210.6,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al15Co25Cr10Fe25Ni25,250.3,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al17.5Co25Cr7.5Fe25Ni25,314.1,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al20Co25Cr5Fe25Ni25,386.5,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al22.5Co25Cr2.5Fe25Ni25,486.3,"王帅. Al_xCoFeNiCr_（1-x）高熵合金微观组织，力学性能及耐腐蚀性能研究[D].中北大学,2020./Wang Shuai. Study on the Mechanical Properties and Corrosion Resistance of AlxCoFeNiCr1-x High-Entropy Alloys[D]. Zhongbei University, 2020"
Al6.5Co21.7Cr21.7Fe21.7Ni21.7Mn6.5,147,"程一丹. Al-Co-Cr-Fe-Mn-Ni-C系高熵合金组织及性能的研究[D].西安工业大学,2018./Cheng Yidan. Study on Al-Co-Cr-Fe-Mn-Ni-C High-entropy Alloys in As-Cast 
and Annealed Phase [D]. Xi'an University of technology, 2018"
Al6.1Co20.4Cr20.4Fe20.4Ni20.4Mn12.2,135,"程一丹. Al-Co-Cr-Fe-Mn-Ni-C系高熵合金组织及性能的研究[D].西安工业大学,2018./Cheng Yidan. Study on Al-Co-Cr-Fe-Mn-Ni-C High-entropy Alloys in As-Cast 
and Annealed Phase [D]. Xi'an University of technology, 2018"
Al10.4Co20.8Cr20.8Fe20.8Ni20.8Mn6.3,176,"程一丹. Al-Co-Cr-Fe-Mn-Ni-C系高熵合金组织及性能的研究[D].西安工业大学,2018./Cheng Yidan. Study on Al-Co-Cr-Fe-Mn-Ni-C High-entropy Alloys in As-Cast 
and Annealed Phase [D]. Xi'an University of technology, 2018"
Al9.8Co19.6Cr19.6Fe19.6Ni19.6Mn11.8,161,"程一丹. Al-Co-Cr-Fe-Mn-Ni-C系高熵合金组织及性能的研究[D].西安工业大学,2018./Cheng Yidan. Study on Al-Co-Cr-Fe-Mn-Ni-C High-entropy Alloys in As-Cast 
and Annealed Phase [D]. Xi'an University of technology, 2018"
Al18.9Co18.9Cr18.9Fe18.9Ni18.9Mn5.7,501,"程一丹. Al-Co-Cr-Fe-Mn-Ni-C系高熵合金组织及性能的研究[D].西安工业大学,2018./Cheng Yidan. Study on Al-Co-Cr-Fe-Mn-Ni-C High-entropy Alloys in As-Cast 
and Annealed Phase [D]. Xi'an University of technology, 2018"
Al17.9Co17.9Cr17.9Fe17.9Ni17.9Mn10.7,489,"程一丹. Al-Co-Cr-Fe-Mn-Ni-C系高熵合金组织及性能的研究[D].西安工业大学,2018./Cheng Yidan. Study on Al-Co-Cr-Fe-Mn-Ni-C High-entropy Alloys in As-Cast 
and Annealed Phase [D]. Xi'an University of technology, 2018"
Al20.6Co15.9Cr15.9Fe15.9Ni31.7,340,"王永祥. 高熵合金渗氮层的微观结构和摩擦学性能研究[D].太原理工大学,2018./Wang Yongxiang. Microstructure and Wearl Properties of nitrided layer of high entropy alloy [D]. Taiyuan University of technology, 2018."
Al18.2Cr18.2Cu18.2Fe18.2Ni18.2Ti9.1,460,"颉晶. AlCrCuFeNiTi_x系高熵合金组织及性能的研究[D].西安理工大学,2018./Jie Jing. Study on Microstructure and Properties of AlCrCuFeNiTi_x high entropy alloy [D]. Xi'an University of technology, 2018"
Al15.4Cr15.4Cu15.4Fe15.4Ni15.4Ti23.1,596,"颉晶. AlCrCuFeNiTi_x系高熵合金组织及性能的研究[D].西安理工大学,2018./Jie Jing. Study on Microstructure and Properties of AlCrCuFeNiTi_x high entropy alloy [D]. Xi'an University of technology, 2018"
Al20Cr20Fe20Ni20Ti20,687.48,"史秀丽,王灿明,孙宏飞,刘亮,杜宁乐.元素Cu对Cu_xAlFeNiCrTi(x=0,0.5,1.0)高熵合金组织性能的影响[J].材料保护,2018,51(01):58-61+75./Shi Xiuli, Wang Canming, Sun Hongfei, Liu Liang, Du Ningle. Effects of Cu Element on Microstructure and Properties of CuAlFeNiCrTi (x=0, 0.5, 1.0) High-Entropy Alloys [J]. Materials protection, 2018,51 (01): 58-61 + 75"
Al22Co18.3Cr18.3Fe18.3Ni18.3Ti4.6,666.38,"董鑫涛,刘贵仲,班煜峰,喻学谦,郭景杰.Ti元素对Al_(1.2)FeCrCoNiTi_x高熵合金微观组织及硬度的影响[J].热加工工艺,2018,47(04):75-79./Dong Xintao, Liu Guizhong, ban Yufeng, Yu Xueqian, Guo Jingjie. Effects of Ti Element on Microstructure and Hardness of AlFeCrCoNiTi High-entropy Alloys [J]. Hot Working Technology, 2018,47 (04): 75-79"
Al21.1Co17.5Cr17.5Fe17.5Ni17.5Ti8.8,717.02,"董鑫涛,刘贵仲,班煜峰,喻学谦,郭景杰.Ti元素对Al_(1.2)FeCrCoNiTi_x高熵合金微观组织及硬度的影响[J].热加工工艺,2018,47(04):75-79./Dong Xintao, Liu Guizhong, ban Yufeng, Yu Xueqian, Guo Jingjie. Effects of Ti Element on Microstructure and Hardness of AlFeCrCoNiTi High-entropy Alloys [J]. Hot Working Technology, 2018,47 (04): 75-79"
Al20.2Co16.8Cr16.8Fe16.8Ni16.8Ti12.6,702.61,"董鑫涛,刘贵仲,班煜峰,喻学谦,郭景杰.Ti元素对Al_(1.2)FeCrCoNiTi_x高熵合金微观组织及硬度的影响[J].热加工工艺,2018,47(04):75-79./Dong Xintao, Liu Guizhong, ban Yufeng, Yu Xueqian, Guo Jingjie. Effects of Ti Element on Microstructure and Hardness of AlFeCrCoNiTi High-entropy Alloys [J]. Hot Working Technology, 2018,47 (04): 75-79"
Al19.4Co16.1Cr16.1Fe16.1Ni16.1Ti16.1,676.45,"董鑫涛,刘贵仲,班煜峰,喻学谦,郭景杰.Ti元素对Al_(1.2)FeCrCoNiTi_x高熵合金微观组织及硬度的影响[J].热加工工艺,2018,47(04):75-79./Dong Xintao, Liu Guizhong, ban Yufeng, Yu Xueqian, Guo Jingjie. Effects of Ti Element on Microstructure and Hardness of AlFeCrCoNiTi High-entropy Alloys [J]. Hot Working Technology, 2018,47 (04): 75-79"
Co15.4Cu15.4Fe15.4Ni15.4Ti23.1V15.4,589,"叶海梅,杨文超,庞兴志,杨剑冰,湛永钟.Ti元素对CoCuFeNiVTi_x高熵合金耐磨性能的影响[J].广西大学学报(自然科学版),2017,42(03):1187-1191./Ye Haimei, Yang Wenchao, Pang Xingzhi, Yang Jianbing, Zhan Yongzhong. Effect of titanium content on wear resistance of CoCuFeNiVTi high-entropy alloys [J]. Journal of Guangxi University (NATURAL SCIENCE EDITION), 2017,42 (03): 1187-1191"
Al16.7Co16.7Cr16.7Fe16.7Ni16.7Mo16.7,851.08,"班煜峰,刘贵仲,董鑫涛,郭景杰.热处理对AlFeCrCoNiMo高熵合金微观组织与硬度的影响[J].锻压技术,2017,42(07):136-140./Ban Yufeng, Liu Guizhong, Dong Xintao, Guo Jingjie. Influence of heat treatment on microstructure and hardness of high entropy alloy AlFeCrCoNiMo[J]. Forging technology, 2017,42 (07): 136-140"
Al9.5Co19Cr19Cu14.3Fe19Ni19,240.7,"范啟超. AlFeCrNiCoCu系高熵合金及其复合材料组织及性能研究[D].哈尔滨工业大学,2011./Fan Qichao. Research on Microstructure and Properties of AlFeCrNiCoCu High-Entropy alloy based on Composites[D]. Harbin Institute of technology, 2011"
Al10Co20Cr20Cu10Fe20Ni20,240.78,"范啟超. AlFeCrNiCoCu系高熵合金及其复合材料组织及性能研究[D].哈尔滨工业大学,2011./Fan Qichao. Research on Microstructure and Properties of AlFeCrNiCoCu High-Entropy alloy based on Composites[D]. Harbin Institute of technology, 2011"
Al13.5Co19.2Cr19.2Cu9.6Fe19.2Ni19.2,312.54,"范啟超. AlFeCrNiCoCu系高熵合金及其复合材料组织及性能研究[D].哈尔滨工业大学,2011./Fan Qichao. Research on Microstructure and Properties of AlFeCrNiCoCu High-Entropy alloy based on Composites[D]. Harbin Institute of technology, 2011"
Al14.3Co19Cr19Cu9.5Fe19Ni19,341.09,"范啟超. AlFeCrNiCoCu系高熵合金及其复合材料组织及性能研究[D].哈尔滨工业大学,2011./Fan Qichao. Research on Microstructure and Properties of AlFeCrNiCoCu High-Entropy alloy based on Composites[D]. Harbin Institute of technology, 2011"
Al15Co20Cr20Cu5Fe20Ni20,375.23,"范啟超. AlFeCrNiCoCu系高熵合金及其复合材料组织及性能研究[D].哈尔滨工业大学,2011./Fan Qichao. Research on Microstructure and Properties of AlFeCrNiCoCu High-Entropy alloy based on Composites[D]. Harbin Institute of technology, 2011"
Al15.2Co19Cr19Cu8.6Fe19Ni19,403.25,"范啟超. AlFeCrNiCoCu系高熵合金及其复合材料组织及性能研究[D].哈尔滨工业大学,2011./Fan Qichao. Research on Microstructure and Properties of AlFeCrNiCoCu High-Entropy alloy based on Composites[D]. Harbin Institute of technology, 2011"
Al17Co18.9Cr18.9Cu7.5Fe18.9Ni18.9,560.11,"范啟超. AlFeCrNiCoCu系高熵合金及其复合材料组织及性能研究[D].哈尔滨工业大学,2011./Fan Qichao. Research on Microstructure and Properties of AlFeCrNiCoCu High-Entropy alloy based on Composites[D]. Harbin Institute of technology, 2011"
Al19.6Co19.6Cr19.6Cu2Fe19.6Ni19.6,578.26,"范啟超. AlFeCrNiCoCu系高熵合金及其复合材料组织及性能研究[D].哈尔滨工业大学,2011./Fan Qichao. Research on Microstructure and Properties of AlFeCrNiCoCu High-Entropy alloy based on Composites[D]. Harbin Institute of technology, 2011"
Cr16.7Cu16.7Fe16.7Ni16.7Ti16.7V16.7,657,"葛大梁,刘贵仲,周敏,郭景杰.Al_xCrFeNiCuVTi系高熵合金的组织和力学性能研究[J].热加工工艺,2013,42(08):47-49./Ge Daliang, Liu Guizhong, Zhou Min, Guo Jingjie. Study on Microstructure and Mechanical Properties of AlCrFeNiCuVTi High-entropy Alloy [J]. Hot Working Technology, 2013,42 (08): 47-49"
