,Composition,As-cast/other,Single/MultiPhase,Temperature (Celcius),Yield Strength,bin_name
98,AlNbTiV,0,S,800.0,560.0,5
99,AlNbTiV,0,S,600.0,780.0,7
100,AlNbTiVZr,0,M,25.0,1500.0,9
101,AlNbTiVZr,0,M,800.0,550.0,5
102,AlNbTiVZr,0,M,600.0,1155.0,9
103,AlNbTiVZr0.1,0,M,25.0,1290.0,9
104,AlNbTiVZr0.1,0,M,800.0,865.0,8
105,AlNbTiVZr0.1,0,M,600.0,975.0,9
106,AlNbTiVZr0.25,0,M,25.0,1360.0,9
107,AlNbTiVZr0.25,0,M,800.0,855.0,8
108,AlNbTiVZr0.25,0,M,600.0,1065.0,9
109,AlNbTiVZr0.5,0,M,25.0,1485.0,9
110,AlNbTiVZr0.5,0,M,800.0,675.0,6
111,AlNbTiVZr0.5,0,M,600.0,1135.0,9
112,AlNbTiVZr1.5,0,M,25.0,1535.0,9
113,AlNbTiVZr1.5,0,M,800.0,180.0,1
114,AlNbTiVZr1.5,0,M,600.0,1195.0,9
122,CrHfNbTiZr,0,M,25.0,1457.0,9
123,CrHfNbTiZr,0,M,25.0,1420.0,9
124,CrHfNbTiZr,1,M,25.0,1375.0,9
125,CrHfNbTiZr,0,M,25.0,1328.0,9
126,CrHfNbTiZr,0,M,25.0,1322.0,9
127,CrMo0.5NbTa0.5TiZr,0,M,25.0,1595.0,9
128,CrMo0.5NbTa0.5TiZr,0,M,1200.0,170.0,1
129,CrMo0.5NbTa0.5TiZr,0,M,1000.0,546.0,5
130,CrMo0.5NbTa0.5TiZr,0,M,800.0,983.0,9
131,CrNbTiVZr,0,M,25.0,1298.0,9
132,CrNbTiVZr,0,M,1000.0,259.0,2
133,CrNbTiVZr,0,M,800.0,615.0,6
134,CrNbTiVZr,0,M,600.0,1230.0,9
135,CrNbTiZr,0,M,25.0,1260.0,9
136,CrNbTiZr,0,M,1000.0,115.0,1
137,CrNbTiZr,0,M,800.0,300.0,3
138,CrNbTiZr,0,M,600.0,1035.0,9
139,CrTaTi0.17VW,0,M,25.0,2034.0,9
140,CrTaTi0.17VW,0,M,1200.0,750.0,7
141,CrTaTi0.3VW,0,M,25.0,2050.0,9
142,CrTaTi0.3VW,0,M,1200.0,586.0,5
143,CrTaVW,0,M,25.0,2327.0,9
144,CrTaVW,0,M,1200.0,979.0,9
145,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,25.0,822.0,8
146,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,300.0,590.0,5
147,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,200.0,650.0,6
148,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,100.0,765.0,7
149,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,60.0,795.0,7
155,Hf0.5Mo0.5NbTiZr,1,S,25.0,1176.0,9
156,Hf0.5Mo0.5NbTiZr,1,S,25.0,1150.0,9
157,Hf0.5Nb0.5Ta0.5Ti1.5Zr,1,S,25.0,903.0,9
158,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,25.0,1150.0,9
159,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,25.0,1100.0,9
160,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,72.0,1040.0,9
161,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,72.0,1020.0,9
162,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-43.0,1200.0,9
163,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-43.0,1180.0,9
164,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-103.0,1380.0,9
165,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-103.0,1370.0,9
166,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-153.0,1640.0,9
167,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-153.0,1550.0,9
168,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-196.0,1880.0,9
169,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-196.0,1750.0,9
170,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-268.8,2250.0,9
171,Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-268.8,2210.0,9
172,HfMo0.25NbTaTiZr,1,S,25.0,1112.0,9
182,HfMo0.5NbTaTiZr,1,S,25.0,1317.0,9
183,HfMo0.5NbTiV0.5,1,S,25.0,1260.0,9
184,HfMo0.5NbTiV0.5,1,S,1200.0,60.0,0
185,HfMo0.5NbTiV0.5,1,S,1000.0,368.0,3
186,HfMo0.75NbTaTiZr,1,S,25.0,1373.0,9
187,HfMoNbTaTiZr,1,S,25.0,1512.0,9
188,HfMoNbTaTiZr,1,S,25.0,1512.0,9
189,HfMoNbTaTiZr,1,S,1200.0,556.0,5
190,HfMoNbTaTiZr,1,S,1000.0,814.0,8
191,HfMoNbTaTiZr,1,S,800.0,1007.0,9
192,HfMoNbTiZr,1,S,25.0,1719.0,9
193,HfMoNbTiZr,0,S,25.0,1575.0,9
194,HfMoNbTiZr,1,S,1200.0,187.0,1
195,HfMoNbTiZr,1,S,1100.0,397.0,3
196,HfMoNbTiZr,1,S,1000.0,635.0,6
197,HfMoNbTiZr,1,S,900.0,728.0,7
198,HfMoNbTiZr,1,S,800.0,825.0,8
199,HfMoTaTiZr,1,S,25.0,1600.0,9
200,HfMoTaTiZr,1,S,1200.0,404.0,4
201,HfMoTaTiZr,1,S,1000.0,855.0,8
202,HfMoTaTiZr,1,S,800.0,1045.0,9
203,HfNb0.18Ta0.18Ti1.27Zr,0,S,25.0,540.0,5
214,HfNbTaTiZr,1,S,25.0,1073.0,9
215,HfNbTaTiZr,1,S,25.0,1015.0,9
216,HfNbTaTiZr,0,M,25.0,1520.0,9
217,HfNbTaTiZr,0,M,25.0,795.0,7
218,HfNbTaTiZr,0,S,25.0,1900.0,9
219,HfNbTaTiZr,0,S,25.0,830.0,8
220,HfNbTaTiZr,0,M,25.0,1303.0,9
221,HfNbTaTiZr,0,S,25.0,1202.0,9
222,HfNbTaTiZr,0,S,25.0,1145.0,9
223,HfNbTaTiZr,0,S,25.0,958.0,9
224,HfNbTaTiZr,0,S,25.0,944.0,9
225,HfNbTaTiZr,0,S,25.0,940.0,9
226,HfNbTaTiZr,0,S,25.0,940.0,9
227,HfNbTaTiZr,0,S,25.0,929.0,9
228,HfNbTaTiZr,1,S,25.0,905.0,9
229,HfNbTaTiZr,1,S,25.0,890.0,8
230,HfNbTaTiZr,1,S,25.0,828.0,8
231,HfNbTaTiZr,1,S,25.0,827.0,8
232,HfNbTaTiZr,1,S,25.0,820.0,8
233,HfNbTaTiZr,1,S,25.0,803.0,8
234,HfNbTaTiZr,0,S,1200.0,92.0,0
235,HfNbTaTiZr,0,S,1000.0,295.0,2
236,HfNbTaTiZr,0,S,800.0,535.0,5
237,HfNbTaTiZr,0,S,800.0,285.0,2
238,HfNbTaTiZr,0,S,600.0,675.0,6
239,HfNbTaTiZr,0,S,400.0,790.0,7
240,HfNbTaZr,0,M,25.0,2310.0,9
241,HfNbTaZr,0,M,25.0,2100.0,9
242,HfNbTaZr,0,M,25.0,2020.0,9
243,HfNbTaZr,0,M,25.0,1950.0,9
244,HfNbTaZr,1,S,25.0,1315.0,9
245,HfNbTiVZr,0,M,25.0,1157.0,9
246,HfNbTiVZr,1,M,25.0,1170.0,9
247,HfNbTiVZr,0,S,25.0,1253.0,9
248,HfNbTiVZr,0,S,25.0,1140.0,9
249,HfNbTiVZr,0,S,25.0,1120.0,9
250,HfNbTiVZr,0,S,25.0,879.0,8
251,HfTa0.4TiZr,1,M,25.0,400.0,4
252,HfTa0.5TiZr,1,M,25.0,700.0,7
253,HfTa0.6TiZr,1,M,25.0,800.0,8
254,HfTaTiZr,1,S,25.0,1500.0,9
255,Mo0.1NbTiV0.3Zr,1,S,25.0,932.0,9
256,Mo0.3NbTiV0.3Zr,1,S,25.0,1312.0,9
257,Mo0.3NbTiVZr,1,S,25.0,1289.0,9
258,Mo0.5NbTiV0.3Zr,1,S,25.0,1301.0,9
259,Mo0.5NbTiVZr,1,S,25.0,1473.0,9
260,Mo0.7NbTiV0.3Zr,1,S,25.0,1436.0,9
261,Mo0.7NbTiVZr,1,S,25.0,1706.0,9
262,Mo1.3NbTiV0.3Zr,1,S,25.0,1603.0,9
263,Mo1.3NbTiVZr,1,S,25.0,1496.0,9
264,Mo1.5NbTiV0.3Zr,1,S,25.0,1576.0,9
265,Mo1.5NbTiVZr,1,M,25.0,1603.0,9
266,Mo1.7NbTiVZr,1,M,25.0,1645.0,9
267,Mo2NbTiVZr,1,M,25.0,1765.0,9
268,MoNbTaTi0.25W,1,S,25.0,1109.0,9
269,MoNbTaTi0.5W,1,S,25.0,1211.0,9
270,MoNbTaTi0.75W,1,S,25.0,1304.0,9
271,MoNbTaTiV,1,S,25.0,1400.0,9
272,MoNbTaTiVW,1,S,25.0,1515.0,9
