Li,1
Be,2
B,3
C,4
N,5
O,6
Na,1
Mg,2
Al,3
Si,4
P,5
S,6
K,1
Ca,2
Sc,3
Ti,4
V,5
Cr,6
Mn,7
Fe,8
Co,9
Ni,10
Cu,11
Zn,12
Ga,3
Ge,4
As,5
Se,6
Rb,1
Sr,2
Y,3
Zr,4
Nb,5
Mo,6
Ru,8
Rh,9
Pd,10
Ag,11
Cd,12
In,3
Sn,4
Sb,5
Te,6
Cs,1
Ba,2
La,3
Ce,3
Pr,3
Nd,3
Sm,3
Eu,3
Gd,3
Tb,3
Dy,3
Ho,3
Er,3
Tm,3
Yb,3
Lu,3
Hf,4
Ta,5
W,6
Re,7
Os,8
Ir,9
Pt,10
Au,11
Hg,2
Tl,3
Pb,4
Bi,5
I,7
