Composition,As-cast/other,Single/MultiPhase,Temperature (Celcius),Yield Strength
CrNbTiVZr,0,M,600,1230
CrNbTiZr,0,M,25,1260
CrNbTiZr,0,M,1000,115
CrNbTiZr,0,M,800,300
CrNbTiZr,0,M,600,1035
CrTaTi0.17VW,0,M,25,2034
CrTaTi0.17VW,0,M,1200,750
CrTaTi0.3VW,0,M,25,2050
CrTaTi0.3VW,0,M,1200,586
CrTaVW,0,M,25,2327
CrTaVW,0,M,1200,979
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,25,822
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,300,590
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,200,650
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,100,765
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,1,S,60,795
Hf0.5Mo0.5NbSi0.1TiZr,1,M,25,1350
Hf0.5Mo0.5NbSi0.3TiZr,1,M,25,1370
Hf0.5Mo0.5NbSi0.5TiZr,1,M,25,1600
Hf0.5Mo0.5NbSi0.7TiZr,1,M,25,1550
Hf0.5Mo0.5NbSi0.9TiZr,1,M,25,1650
Hf0.5Mo0.5NbTiZr,1,S,25,1176
Hf0.5Mo0.5NbTiZr,1,S,25,1150
Hf0.5Nb0.5Ta0.5Ti1.5Zr,1,S,25,903
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,25,1150
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,25,1100
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,72,1040
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,72,1020
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-43,1200
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-43,1180
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-103,1380
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-103,1370
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-153,1640
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-153,1550
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-196,1880
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-196,1750
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-268.8,2250
Hf0.75NbTa0.5Ti1.5Zr1.25,0,S,-268.8,2210
HfMo0.25NbTaTiZr,1,S,25,1112
HfMo0.5NbSi0.3TiV0.5,1,M,25,1617
HfMo0.5NbSi0.3TiV0.5,1,M,1200,166
HfMo0.5NbSi0.3TiV0.5,1,M,1000,398
HfMo0.5NbSi0.5TiV0.5,1,M,25,1787
HfMo0.5NbSi0.5TiV0.5,1,M,1200,188
HfMo0.5NbSi0.5TiV0.5,1,M,1000,614
HfMo0.5NbSi0.7TiV0.5,1,M,25,2134
HfMo0.5NbSi0.7TiV0.5,1,M,1200,235
HfMo0.5NbSi0.7TiV0.5,1,M,1000,673
HfMo0.5NbTaTiZr,1,S,25,1317
HfMo0.5NbTiV0.5,1,S,25,1260
HfMo0.5NbTiV0.5,1,S,1200,60
HfMo0.5NbTiV0.5,1,S,1000,368
HfMo0.75NbTaTiZr,1,S,25,1373
HfMoNbTaTiZr,1,S,25,1512
HfMoNbTaTiZr,1,S,25,1512
HfMoNbTaTiZr,1,S,1200,556
HfMoNbTaTiZr,1,S,1000,814
HfMoNbTaTiZr,1,S,800,1007
HfMoNbTiZr,1,S,25,1719
HfMoNbTiZr,0,S,25,1575
HfMoNbTiZr,1,S,1200,187
HfMoNbTiZr,1,S,1100,397
HfMoNbTiZr,1,S,1000,635
HfMoNbTiZr,1,S,900,728
HfMoNbTiZr,1,S,800,825
HfMoTaTiZr,1,S,25,1600
HfMoTaTiZr,1,S,1200,404
HfMoTaTiZr,1,S,1000,855
HfMoTaTiZr,1,S,800,1045
HfNb0.18Ta0.18Ti1.27Zr,0,S,25,540
HfNbSi0.5TiV,1,M,25,1399
HfNbSi0.5TiV,1,M,1000,240
HfNbSi0.5TiV,1,M,800,875
HfNbSi0.5TiVZr,1,M,25,1540
HfNbSi0.5TiVZr,0,M,25,1483
HfNbSi0.5TiVZr,1,M,800,371
HfNbSi0.5TiVZr,0,M,800,102
HfNbSi0.5TiVZr,1,M,600,920
HfNbSi0.5TiVZr,0,M,600,597
HfNbSi0.5TiVZr,0,M,400,1273
HfNbTaTiZr,1,S,25,1073
HfNbTaTiZr,1,S,25,1015
HfNbTaTiZr,0,M,25,1520
HfNbTaTiZr,0,M,25,795
HfNbTaTiZr,0,S,25,1900
HfNbTaTiZr,0,S,25,830
HfNbTaTiZr,0,M,25,1303
HfNbTaTiZr,0,S,25,1202
HfNbTaTiZr,0,S,25,1145
HfNbTaTiZr,0,S,25,958
HfNbTaTiZr,0,S,25,944
HfNbTaTiZr,0,S,25,940
HfNbTaTiZr,0,S,25,940
HfNbTaTiZr,0,S,25,929
HfNbTaTiZr,1,S,25,905
HfNbTaTiZr,1,S,25,890
HfNbTaTiZr,1,S,25,828
HfNbTaTiZr,1,S,25,827
HfNbTaTiZr,1,S,25,820
HfNbTaTiZr,1,S,25,803
HfNbTaTiZr,0,S,1200,92
HfNbTaTiZr,0,S,1000,295
HfNbTaTiZr,0,S,800,535
HfNbTaTiZr,0,S,800,285
HfNbTaTiZr,0,S,600,675
HfNbTaTiZr,0,S,400,790
HfNbTaZr,0,M,25,2310
HfNbTaZr,0,M,25,2100
HfNbTaZr,0,M,25,2020
HfNbTaZr,0,M,25,1950
HfNbTaZr,1,S,25,1315
HfNbTiVZr,0,M,25,1157
HfNbTiVZr,1,M,25,1170
HfNbTiVZr,0,S,25,1253
HfNbTiVZr,0,S,25,1140
HfNbTiVZr,0,S,25,1120
HfNbTiVZr,0,S,25,879
HfTa0.4TiZr,1,M,25,400
HfTa0.5TiZr,1,M,25,700
HfTa0.6TiZr,1,M,25,800
