,Precision,Recall,F1 Score,Support
0,1.0,1.0,1.0,36
1,0.875,0.8611111111111112,0.8658008658008658,36
2,0.9060846560846562,0.8888888888888888,0.8922128259337563,36
3,0.949074074074074,0.9444444444444444,0.9363929146537843,36
4,0.8694444444444444,0.8611111111111112,0.8600088183421517,36
5,0.9476190476190476,0.9428571428571428,0.9345755693581781,35
6,0.980952380952381,0.9714285714285714,0.9739372822299651,35
7,0.9183673469387754,0.9142857142857143,0.9133437990580848,35
8,0.8023809523809524,0.8285714285714286,0.8089795918367346,35
9,0.9170068027210885,0.9142857142857143,0.9143879376437517,35
